To,Nominal (in),Segment,Global X (ft),Global Y (ft),Global Z (ft)
B214,6.000,B,8.686299,27.87375,-319.3109
B215,6.000,B,5.4263,27.87375,-319.3109
B216,6.000,B,-2.917033,27.87375,-319.3109
B217,6.000,B,-2.917033,32.10375,-319.3109
B218,8.000,B,-2.917033,32.60375,-319.3109
C25,8.000,B,-2.917033,33.58291,-319.3109
C00,24.000,C,-2.917033,33.83291,0.00205485
C01,24.000,C,-2.917033,33.83291,-19.97795
C02,24.000,C,-2.917033,33.83291,-40.01794
C03,24.000,C,-2.917033,33.83291,-42.78961
C04,18.000,C,-2.917033,33.58291,-44.45961
C05,18.000,C,-2.917033,33.58291,-60.07419
C06,18.000,C,-2.917033,33.58291,-79.97419
C07,18.000,C,-2.917033,33.58291,-100.0742
C08,18.000,C,-2.917033,33.58291,-119.9742
C09,18.000,C,-2.917033,33.58291,-140.0742
C10,18.000,C,-2.917033,33.58291,-149.9742
C11,18.000,C,-2.917033,33.58291,-153.1542
C12,18.000,C,-2.917033,33.58291,-155.8742
C13,18.000,C,-2.917033,19.91625,-155.8742
C14,18.000,C,-2.917033,19.91625,-164.5409
C15,18.000,C,-2.917033,33.58291,-164.5409
C16,18.000,C,-2.917033,33.58291,-167.2596
C17,18.000,C,-2.917033,33.58291,-169.9696
C18,18.000,C,-2.917033,33.58291,-180.0696
C19,18.000,C,-2.917033,33.58291,-199.9696
C20,18.000,C,-2.917033,33.58291,-220.0696
C21,18.000,C,-2.917033,33.58291,-240.0096
C22,18.000,C,-2.917033,33.58291,-263.0296
C23,18.000,C,-2.917033,33.58291,-282.9696
C24,18.000,C,-2.917033,33.58291,-303.0296
C25,18.000,C,-2.917033,33.58291,-319.3109
C26,18.000,C,-2.917033,33.58291,-322.9671
B52,4.000,D,320.8517,13.145,-350.4271
D01,4.000,D,320.8517,14.47833,-349.0938
D02,4.000,D,320.8517,14.47833,-337.7604
D03,4.000,D,320.8517,14.47833,-327.9479
D04,4.000,D,320.8517,14.47833,-324.8121
D05,4.000,D,320.8517,14.47833,-317.8121
D06,4.000,D,320.8517,14.47833,-309.0104
D07,4.000,D,320.8517,14.47833,-297.5421
D08,4.000,D,320.8517,14.47833,-287.4063
D09,4.000,D,320.8517,14.47833,-281.6771
D10,4.000,D,320.8517,14.47833,-278.5413
D11,4.000,D,320.8517,14.47833,-275.7396
D12,4.000,D,320.8517,14.47833,-267.1038
D13,4.000,D,320.8517,14.47833,-256.9679
D14,4.000,D,320.8517,14.47833,-247.2388
D15,2.000,D,320.8517,14.47833,-246.9471
D16,2.000,D,320.8517,14.47833,-246.7804
D17,1.500,D,320.8517,14.47833,-246.6763
D18,1.500,D,320.8517,14.47833,-246.1138
D19,1.500,D,320.8517,14.47833,-245.6346
D20,1.500,D,320.8517,14.47833,-245.4054
D42,1.500,D,321.2784,14.47833,-245.4054
D21,1.500,D,321.7059,14.47833,-245.4054
D22,1.500,D,321.7059,14.47833,-245.6346
D23,1.500,D,321.7059,14.47833,-246.1138
D24,1.500,D,321.7059,14.47833,-246.6763
D25,2.000,D,321.7059,14.47833,-246.7804
D26,2.000,D,321.7059,14.47833,-246.9471
D27,4.000,D,321.7059,14.47833,-247.2388
D28,4.000,D,321.7059,14.47833,-256.9679
D29,4.000,D,321.7059,14.47833,-267.1038
D30,4.000,D,321.7059,14.47833,-275.7396
D31,4.000,D,321.7059,14.47833,-278.5413
D32,4.000,D,321.7059,14.47833,-281.6771
D33,4.000,D,321.7059,14.47833,-287.4063
D34,4.000,D,321.7059,14.47833,-297.5421
D35,4.000,D,321.7059,14.47833,-309.0104
D36,4.000,D,321.7059,14.47833,-317.8121
D37,4.000,D,321.7059,14.47833,-324.8121
D38,4.000,D,321.7059,14.47833,-327.9479
D39,4.000,D,321.7059,14.47833,-337.7604
D40,4.000,D,321.7059,14.47833,-350.0938
B165,4.000,D,321.7059,13.145,-351.4263
