Seg,Point,ID,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1,LocalDir2,Force2,Disp2,Gap2,LocalDir3,Force3,Disp3,Gap3,Stiffness,Friction,ColdLoad,CoordX,CoordY,CoordZ
B,B12,B12  1,,Shoe,COLD,6,0,-256,0,256,0.002,0,-0.01,0.01,down,256,0,0,#NAME?,0,0.01,0,#NAME?,0,0.002,0,10000000000,0.3,0,65.44,27.87,-317.56
B,B12,B12  1,,Shoe,OPERATING,6,-75,-256,0,267,-0.026,0,-0.01,0.028,down,256,0,0,#NAME?,0,0.01,0,#NAME?,75,0.026,0,10000000000,0.3,0,65.44,27.87,-317.56
B,B13,B13  1,,Guide,COLD,6,0,-257,0,257,0.002,0,-0.01,0.01,down,257,0,0,left,0,0.01,0.06,forw,0,0.002,0,10000000000,0.3,0,75.44,27.87,-317.56
B,B13,B13  1,,Guide,OPERATING,6,-76,-257,0,268,-0.043,0,-0.01,0.045,down,257,0,0,left,0,0.01,0.06,back,76,0.043,0,10000000000,0.3,0,75.44,27.87,-317.56
B,B14,B14  1,,Shoe,COLD,6,0,-257,0,257,0.002,0,-0.011,0.011,down,257,0,0,#NAME?,0,0.011,0,#NAME?,0,0.002,0,10000000000,0.3,0,85.44,27.87,-317.56
B,B14,B14  1,,Shoe,OPERATING,6,-76,-257,0,268,-0.061,0,-0.011,0.062,down,257,0,0,#NAME?,0,0.011,0,#NAME?,76,0.061,0,10000000000,0.3,0,85.44,27.87,-317.56
B,B15,B15  1,,Guide,COLD,6,0,-257,0,257,0.002,0,-0.011,0.011,down,257,0,0,left,0,0.011,0.06,forw,0,0.002,0,10000000000,0.3,0,95.44,27.87,-317.56
B,B15,B15  1,,Guide,OPERATING,6,-76,-257,0,268,-0.078,0,-0.011,0.079,down,257,0,0,rght,0,-0.011,0.06,back,76,0.078,0,10000000000,0.3,0,95.44,27.87,-317.56
B,B16,B16  1,,Shoe,COLD,6,0,-257,0,257,0.002,0,-0.012,0.012,down,257,0,0,#NAME?,0,0.012,0,#NAME?,0,0.002,0,10000000000,0.3,0,105.44,27.87,-317.56
B,B16,B16  1,,Shoe,OPERATING,6,-76,-257,1,268,-0.096,0,-0.011,0.096,down,257,0,0,#NAME?,1,-0.011,0,#NAME?,76,0.096,0,10000000000,0.3,0,105.44,27.87,-317.56
B,B17,B17  1,,Guide,COLD,6,0,-256,0,256,0.002,0,-0.013,0.013,down,256,0,0,left,0,0.013,0.06,forw,0,0.002,0,10000000000,0.3,0,115.44,27.87,-317.56
B,B17,B17  1,,Guide,OPERATING,6,-76,-256,1,268,-0.114,0,-0.011,0.114,down,256,0,0,rght,1,-0.011,0.06,back,76,0.114,0,10000000000,0.3,0,115.44,27.87,-317.56
B,B18,B18  1,,Shoe,COLD,6,0,-257,0,257,0.002,0,-0.013,0.013,down,257,0,0,#NAME?,0,0.013,0,#NAME?,0,0.002,0,10000000000,0.3,0,125.44,27.87,-317.56
B,B18,B18  1,,Shoe,OPERATING,6,-77,-257,0,268,-0.131,0,-0.013,0.132,down,257,0,0,#NAME?,0,0.013,0,#NAME?,77,0.131,0,10000000000,0.3,0,125.44,27.87,-317.56
B,B19,B19  1,,Guide,COLD,6,0,-254,0,254,0.002,0,-0.014,0.014,down,254,0,0,left,0,0.014,0.06,forw,0,0.002,0,10000000000,0.3,0,135.44,27.87,-317.56
B,B19,B19  1,,Guide,OPERATING,6,-76,-255,-5,266,-0.149,0,-0.025,0.151,down,255,0,0,left,5,0.025,0.06,back,76,0.149,0,10000000000,0.3,0,135.44,27.87,-317.56
B,B20,B20  1,,Shoe,COLD,6,0,-265,0,265,0.002,0,-0.014,0.014,down,265,0,0,#NAME?,0,0.014,0,#NAME?,0,0.002,0,10000000000,0.3,0,145.44,27.87,-317.56
B,B20,B20  1,,Shoe,OPERATING,6,-77,-263,-15,274,-0.167,0,-0.047,0.174,down,263,0,0,#NAME?,15,0.047,0,#NAME?,77,0.167,0,10000000000,0.3,0,145.44,27.87,-317.56
B,B21,B21  1,,Guide,COLD,6,0,-228,0,228,0.002,0,-0.015,0.015,down,228,0,0,left,0,0.015,0.06,forw,0,0.002,0,10000000000,0.3,0,155.44,27.87,-317.56
B,B21,B21  1,,Guide,OPERATING,6,-67,-230,-15,241,-0.185,0,-0.058,0.194,down,230,0,0,left,15,0.058,0.06,back,67,0.185,0,10000000000,0.3,0,155.44,27.87,-317.56
B,B23,B23  1,,Shoe,COLD,6,0,-414,0,414,0.002,0,-0.015,0.015,down,414,0,0,#NAME?,0,0.015,0,#NAME?,0,0.002,0,10000000000,0.3,0,161.32,27.87,-323.15
B,B23,B23  1,,Shoe,OPERATING,6,-125,-435,17,453,-0.019,0,-0.012,0.022,down,435,0,0,#NAME?,17,-0.012,0,#NAME?,125,0.019,0,10000000000,0.3,0,161.32,27.87,-323.15
B,B26,B26  1,,Guide,COLD,6,0,-276,0,276,0.027,0,0.026,0.037,down,276,0,0,rght,0,0.026,0.06,forw,0,0.027,0,10000000000,0.3,0,166.65,21.24,-326.56
B,B26,B26  1,,Guide,OPERATING,6,70,-233,0,243,0.057,0,0.026,0.063,down,233,0,0,left,0,-0.026,0.06,forw,70,0.057,0,10000000000,0.3,0,166.65,21.24,-326.56
B,B27,B27  1,,Shoe,COLD,6,0,-192,0,192,0.027,0,0.021,0.034,down,192,0,0,#NAME?,0,0.021,0,#NAME?,0,0.027,0,10000000000,0.3,0,174.65,21.24,-326.56
B,B27,B27  1,,Shoe,OPERATING,6,64,-220,17,230,0.043,0,0.026,0.05,down,220,0,0,#NAME?,17,0.026,0,#NAME?,64,0.043,0,10000000000,0.3,0,174.65,21.24,-326.56
B,B28,B28  1,,Guide,COLD,6,0,-138,0,138,0.027,0,0.016,0.031,down,138,0,0,rght,0,0.016,0.06,forw,0,0.027,0,10000000000,0.3,0,183.56,21.24,-326.56
B,B28,B28  1,,Guide,OPERATING,6,-10,-130,18,131,0.026,0,0.016,0.031,down,130,0,0,rght,18,0.016,0.06,back,10,-0.026,0,10000000000,0.3,0,183.56,21.24,-326.56
B,B29,B29  1,,Shoe,COLD,6,0,-318,0,318,0.027,0,0.011,0.029,down,318,0,0,#NAME?,0,0.011,0,#NAME?,0,0.027,0,10000000000,0.3,0,190.65,21.24,-326.56
B,B29,B29  1,,Shoe,OPERATING,6,-84,-328,-51,343,0.013,0,0.003,0.014,down,328,0,0,#NAME?,51,-0.003,0,#NAME?,84,-0.013,0,10000000000,0.3,0,190.65,21.24,-326.56
B,B31,B31  1,,Guide,COLD,6,0,-343,0,343,0.023,0,0.007,0.024,down,343,0,0,rght,0,0.023,0.06,back,0,0.007,0,10000000000,0.3,0,197.67,21.24,-333.15
B,B31,B31  1,,Guide,OPERATING,6,-46,-339,-91,354,0.014,0,-0.011,0.017,down,339,0,0,left,46,-0.014,0.06,forw,91,0.011,0,10000000000,0.3,0,197.67,21.24,-333.15
