Seg,Point,Type,Tag No.,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalMX,GlobalMY,GlobalMZ,GlobalRM,LocalFX,LocalFY,LocalFZ,LocalMX,LocalMY,LocalMZ,CoordX,CoordY,CoordZ
EO,EO01,Anchor,EQUIPMENT,COLD,0,-1,-2,0,2,0,-1,0,1,1,-2,0,0,-1,0,-1267.9,12.5,-292
EO,EO01,Anchor,EQUIPMENT,OPERATING,0,1,-2,1,2,0,0,0,0,-1,-2,-1,0,0,0,-1267.9,12.5,-292
EP,EP05,Anchor,EQUIPMENT,COLD,0,0,-4,0,4,0,0,-2,2,0,-4,0,0,0,2,-1269.59,11.95,-271.1
EP,EP05,Anchor,EQUIPMENT,OPERATING,0,1,-4,-1,4,0,3,-2,4,-1,-4,1,0,3,2,-1269.59,11.95,-271.1
EQ,EQ05,Anchor,EQUIPMENT,COLD,0,0,-3,0,3,0,0,-1,1,0,-3,0,0,0,1,-1269.62,11.94,-270.44
EQ,EQ05,Anchor,EQUIPMENT,OPERATING,0,2,-3,-1,4,0,3,-1,4,-2,-3,1,0,3,1,-1269.62,11.94,-270.44
ER,ER07,Anchor,,COLD,2.5,0,1,0,1,0,1,8,8,1,0,0,1,8,0,-866.89,20.37,-292.45
ER,ER07,Anchor,,OPERATING,2.5,4,-2,1,5,-6,-19,23,31,-2,1,4,-19,23,-6,-866.89,20.37,-292.45
ES,ES07,Anchor,,COLD,2.5,0,-5,0,5,8,-2,1,9,-5,0,0,-2,1,8,-865.25,20.38,-292.44
ES,ES07,Anchor,,OPERATING,2.5,7,-8,0,11,5,-23,24,34,-8,0,7,-23,24,5,-865.25,20.38,-292.44
ET,ET08,Anchor,,COLD,2.5,1,25,0,25,4,-1,8,9,25,0,1,-1,8,4,-874.22,20.67,-262.55
ET,ET08,Anchor,,OPERATING,2.5,6,-42,-1,42,-33,-20,50,63,-42,-1,6,-20,50,-33,-874.22,20.67,-262.55
EU,EU09,Anchor,,COLD,2.5,-3,88,0,88,4,8,-8,12,88,0,-3,8,-8,4,-876.04,20.67,-262.55
EU,EU09,Anchor,,OPERATING,2.5,6,31,-1,32,-30,-17,45,57,31,-1,6,-17,45,-30,-876.04,20.67,-262.55
EV,EV22,Anchor,EQUIPMENT,COLD,0,0,-2,0,2,0,-1,0,1,0,-2,0,0,-1,0,-885.09,14.44,-238.41
EV,EV22,Anchor,EQUIPMENT,OPERATING,0,0,-2,1,2,0,-2,0,2,1,-2,0,0,-2,0,-885.09,14.44,-238.41
EW,EW04,Anchor,EQUIPMENT,COLD,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,-882.27,14.41,-231.97
EW,EW04,Anchor,EQUIPMENT,OPERATING,0,0,-1,-1,1,0,0,0,0,-1,-1,0,0,0,0,-882.27,14.41,-231.97
EX,EX03,Anchor,EQUIPMENT,COLD,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,-877.74,14.41,-238.68
EX,EX03,Anchor,EQUIPMENT,OPERATING,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,-877.74,14.41,-238.68
EY,EY22,Anchor,EQUIPMENT,COLD,0,0,-1,0,1,1,-1,1,1,0,-1,0,1,-1,-1,-885.62,14.43,-238.42
EY,EY22,Anchor,EQUIPMENT,OPERATING,0,0,-1,0,1,1,-2,1,2,0,-1,0,1,-2,-1,-885.62,14.43,-238.42
EZ,EZ03,Anchor,EQUIPMENT,COLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-878.27,14.41,-238.69
EZ,EZ03,Anchor,EQUIPMENT,OPERATING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-878.27,14.41,-238.69
FA,FA04,Anchor,EQUIPMENT,COLD,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,-882.8,14.41,-231.99
FA,FA04,Anchor,EQUIPMENT,OPERATING,0,0,-1,-1,1,0,0,0,0,-1,-1,0,0,0,0,-882.8,14.41,-231.99
